RMSSD,pNN58,SDNN,SD1,SD2,SD1_SD2,emotion
47,9,46,33,57,0.5777981930885248,开心
40,8,43,27,54,0.5173072746573504,开心
57,25,51,40,61,0.6561182997412874,开心
117,75,96,82,109,0.7562232356005939,开心
50,9,43,35,50,0.7027283689263066,开心
58,18,49,41,57,0.7239289275689238,开心
60,18,41,42,41,1.0252177696606375,开心
75,45,44,53,33,1.5977468607560772,开心
67,27,38,47,27,1.7320508075688767,开心
65,27,44,46,42,1.0954451150103317,开心
100,41,59,70,45,1.5374122295716142,开心
95,54,57,67,46,1.4638501094227991,开心
94,58,71,66,76,0.8741751374782099,开心
70,41,62,49,72,0.6834478276661362,开心
78,50,72,55,85,0.6464298720317745,开心
90,38,63,63,63,1.0108225403442197,开心
70,25,59,48,68,0.7056032529840798,开心
72,25,45,51,39,1.2987114589902842,开心
102,50,68,72,64,1.1214112209923632,开心
-124,45,78,93,59,1.5769914032838164,开心
127,41,84,90,78,1.1475552783561742,开心
64,27,57,45,67,0.6676791682560498,开心
57,16,52,40,61,0.6554319752810885,开心
78,36,48,55,39,1.3871472526591044,开心
124,58,77,87,66,1.3143822585486662,开心
126,58,75,89,59,1.5073511718863788,开心
-122,41,85,95,75,1.2686121765927547,开心
113,58,70,80,58,1.3650767439383746,开心
-98,100,90,111,61,1.8073347884948323,开心
-81,83,101,123,71,1.7286277155493504,开心
84,41,49,59,36,1.6317630350052792,开心
92,58,52,65,35,1.846050314016208,开心
99,54,125,69,-94,0.4261522399569478,开心
88,45,105,62,-121,0.4573743668665212,开心
80,27,90,56,114,0.4934627891633014,开心
72,36,65,51,77,0.6602799347256405,开心
65,27,64,45,78,0.5742521199938966,开心
-122,54,86,94,77,1.215980304281001,开心
126,54,79,89,69,1.2909944487358056,开心
73,41,48,51,44,1.1545083285504745,开心
86,66,47,61,28,2.163330765278393,开心
81,58,46,57,31,1.819613133911865,开心
64,33,46,45,47,0.9549918913190502,开心
67,27,45,47,43,1.095445115010332,开心
88,50,56,62,48,1.2898242745105426,开心
104,58,71,73,69,1.0606153780476526,开心
103,66,71,73,70,1.0408372923053808,开心
91,53,59,64,55,1.1680946703726731,开心
78,53,52,55,49,1.1193684396960308,开心
58,30,48,41,55,0.7478180557597474,开心
44,14,36,31,40,0.7705779823665806,开心
59,28,38,42,34,1.212678125181665,开心
-128,53,96,90,102,0.8796937287602432,开心
125,33,102,87,114,0.7649347312068759,开心
70,27,57,49,64,0.7650854667469043,开心
47,9,44,33,53,0.6178803441719549,开心
102,41,69,71,66,1.0871146130092182,开心
101,33,73,71,75,0.942363205721515,开心
97,25,71,68,74,0.9184122964398248,开心
70,25,59,49,67,0.7311117969927433,开心
97,71,51,68,24,2.79957591674058,开心
87,71,47,61,28,2.1997948465782216,开心
59,8,52,41,60,0.6913704630579144,开心
70,25,57,49,63,0.7779755148070822,开心
74,33,64,52,74,0.7123872812999381,开心
82,36,67,57,75,0.7675254694418052,开心
47,9,48,33,59,0.5570649016145637,开心
56,16,78,38,103,0.3740675944756305,开心
95,50,68,66,71,0.9294087092669924,开心
78,36,52,55,50,1.103678846351951,开心
70,27,46,49,43,1.1271480086714245,开心
89,25,51,63,35,1.7818927454128075,开心
98,41,55,69,36,1.9108488797619247,开心
57,25,41,40,42,0.9393733163179884,开心
84,53,49,59,37,1.59795608200939,开心
90,30,56,64,48,1.3251825818157,开心
63,15,37,44,27,1.6295961627817488,开心
75,38,47,53,39,1.3692986700427852,开心
79,38,58,55,60,0.930264618784911,开心
103,30,72,72,71,1.0113991091491557,开心
122,38,73,86,56,1.5436552601420808,开心
121,41,80,85,75,1.1459126175249874,开心
48,7,40,33,45,0.7483314773547882,开心
45,8,33,31,34,0.9266984038309712,开心
101,38,77,71,83,0.8555771123177333,开心
104,46,75,73,77,0.949967907031729,开心
80,25,56,56,56,0.9930795016269964,开心
53,15,30,37,20,1.8199437139514008,开心
38,0,25,26,25,1.073101808774792,开心
117,61,78,82,73,1.125821877622401,开心
87,38,53,61,43,1.4201349887784418,开心
86,33,65,61,68,0.8903855859201112,开心
91,54,52,64,36,1.750414902890461,开心
83,54,58,58,57,1.0268292334780849,开心
